,Unnamed: 0,model_name,frozen_proportion,learning_rate,val_auc,val_accuracy,val_loss,val_precision
0,,ViT,0.6096690104442575,0.0001333605155353,0.955579400062561,0.842749297618866,1.1439837217330933,0.8953859806060791
1,,ViT,0.6096690104442575,0.0001333605155353,0.9819790720939636,0.9041916131973268,0.5703893899917603,0.9238159656524658
2,,CNN,0.5207106393456835,0.0008696717286056,0.938908874988556,0.8491278290748596,1.9449918270111084,0.8758545517921448
3,,CNN,0.5207106393456835,0.0008696717286056,0.2786560356616974,0.07094506919384,1.689895749092102,1.0
4,,ViT,0.0482935594067006,0.0007995680987287,0.9313043355941772,0.8680031299591064,12.19205379486084,0.8733718991279602
5,,ViT,0.0482935594067006,0.0007995680987287,0.9555376768112184,0.8696953654289246,4.783201694488525,0.8806048035621643
6,,CNN,0.9749904800987494,0.0006098164147553,0.093942642211914,0.0544129125773906,1.5700103044509888,0.0544412620365619
7,,CNN,0.9749904800987494,0.0006098164147553,0.9036083221435548,0.8643582463264465,1.454958200454712,0.0
8,,ViT,0.77019413034797,2.786800720487458e-05,0.9107940793037416,0.767638623714447,0.958098530769348,0.8547513484954834
9,,ViT,0.77019413034797,2.786800720487458e-05,0.9301950335502625,0.796407163143158,0.8300591707229614,0.8592941761016846
10,,CNN,0.8473265329604045,0.0003639724095765,0.3675185739994049,0.2806560695171356,1.5974866151809692,0.8500000238418579
11,,CNN,0.8473265329604045,0.0003639724095765,0.93921959400177,0.8126789927482605,1.611985206604004,0.9594594836235046
12,,ViT,0.4711161168083169,0.0008299753104515,0.9768023490905762,0.8996354937553406,2.2974889278411865,0.9255672693252563
13,,ViT,0.4711161168083169,0.0008299753104515,0.9833865761756896,0.9077063202857972,2.1704392433166504,0.939201831817627
14,,CNN,0.0250083139426785,0.0006306170039898,0.978392481803894,0.8995053172111511,1.173792839050293,0.908783793449402
15,,CNN,0.0250083139426785,0.0006306170039898,0.9670060873031616,0.8784170746803284,1.805004835128784,0.8944459557533264
16,,ViT,0.2538949344558737,0.0001005575742071,0.9720184803009032,0.8976829051971436,3.8272438049316406,0.9236704111099244
17,,ViT,0.2538949344558737,0.0001005575742071,0.9784278273582458,0.8976829051971436,2.3875932693481445,0.9156203866004944
18,,ViT,0.9999730932086084,0.0004672971925984,0.9502283930778505,0.8327258229255676,0.6799345016479492,0.881323516368866
19,,ViT,0.9999730932086084,0.0004672971925984,0.9453318119049072,0.8185368180274963,0.96552711725235,0.8724921941757202
20,,CNN,0.1530122949545592,1.3457386233242544e-05,0.9520873427391052,0.8267378211021423,2.09374737739563,0.8517441749572754
21,,CNN,0.1530122949545592,1.3457386233242544e-05,0.9396705627441406,0.8038271069526672,1.0787947177886963,0.8595194220542908
22,,CNN,0.2392024008573193,0.0008065687733097,0.956956684589386,0.8532934188842773,1.6685755252838137,0.9229634404182434
23,,CNN,0.2392024008573193,0.0008065687733097,0.9153822660446168,0.8187971711158752,1.216965913772583,0.8986762762069702
24,,ViT,0.359638554121225,9.516953893631997e-05,0.9436545372009276,0.8335068821907043,1.5453263521194458,0.91189843416214
25,,ViT,0.359638554121225,9.516953893631997e-05,0.9820548295974731,0.9017183184623718,1.150591492652893,0.930046796798706
26,,CNN,0.9311386627179706,0.0005962939307879,0.8848746418952942,0.7483727931976318,1.6604161262512207,0.9011293649673462
27,,CNN,0.9311386627179706,0.0005962939307879,0.8340870141983032,0.7509763240814209,1.4341474771499634,0.954570472240448
28,,ViT,0.0960516604654586,0.0003140120538408,0.959337830543518,0.8789377808570862,2.625221967697144,0.9773666858673096
29,,ViT,0.0960516604654586,0.0003140120538408,0.9694054126739502,0.8768549561500549,2.61734390258789,0.949418306350708
30,,ViT,0.4436583298540258,0.0005394267662478,0.9870449900627136,0.9100494384765624,2.8020107746124268,0.9832621216773988
31,,ViT,0.4436583298540258,0.0005394267662478,0.9762668013572692,0.8877896666526794,1.6321903467178345,0.9231320023536682
32,,ViT,0.3005696336282678,0.0003279639428969,0.9593798518180848,0.8513407707214355,7.237884521484375,0.9146323204040528
33,,ViT,0.3005696336282678,0.0003279639428969,0.9710808396339417,0.8725592494010925,5.92678689956665,0.9370587468147278
34,,CNN,0.0748922133412925,0.0003838900014944,0.9714497327804564,0.8866180777549744,1.3834664821624756,0.9028525352478028
35,,CNN,0.0748922133412925,0.0003838900014944,0.9748910069465636,0.8877896666526794,0.765651285648346,0.9195145964622498
36,,ViT,0.5516637768832254,0.0005119182259907,0.9442641139030457,0.8151522874832153,1.3002262115478516,0.903554916381836
37,,ViT,0.5516637768832254,0.0005119182259907,0.9775935411453248,0.8820619583129883,1.38648521900177,0.91776043176651
38,,CNN,0.9277903397963284,0.0005262400102986,0.8706833124160767,0.7330122590065002,1.3432307243347168,0.9892473220825196
39,,CNN,0.9277903397963284,0.0005262400102986,0.911591112613678,0.7856026887893677,1.4242249727249146,0.91523677110672
0,,ViT,0.8177395047025812,9.967372681453544e-05,0.9405457973480223,0.8185368180274963,0.8945804834365845,0.8743234872817993
1,,ViT,0.8177395047025812,9.967372681453544e-05,0.9431505799293518,0.8178859949111938,0.7852653861045837,0.8458081483840942
2,,CNN,0.749879129892388,3.670021067102524e-05,0.1855993717908859,0.1594636887311935,1.745005488395691,0.0915824919939041
3,,CNN,0.749879129892388,3.670021067102524e-05,0.5535626411437988,0.4916688501834869,1.5784777402877808,0.5531097054481506
4,,ViT,0.8708679345025144,0.0001813710879457,0.9352537393569946,0.7995314002037048,1.1370161771774292,0.8573360443115234
5,,ViT,0.8708679345025144,0.0001813710879457,0.9647144079208374,0.8587607145309448,0.8359623551368713,0.8963173031806946
6,,CNN,0.2631661286311521,0.0003858244076383,0.912814199924469,0.7785732746124268,0.9925509691238404,0.8775038719177246
7,,CNN,0.2631661286311521,0.0003858244076383,0.9450964331626892,0.839364767074585,1.361660122871399,0.9125750064849854
8,,CNN,0.774510636721974,0.0006947112680821,0.7102339863777161,0.5192658305168152,1.4843310117721558,0.9505956768989564
9,,CNN,0.774510636721974,0.0006947112680821,0.841127336025238,0.7073678970336914,1.4616796970367432,0.8958075046539307
10,,ViT,0.8574929009141455,0.0008321245673243,0.8862330317497253,0.7511065006256104,1.1569494009017944,0.9000383019447327
11,,ViT,0.8574929009141455,0.0008321245673243,0.9632298350334167,0.8785472512245178,1.0864062309265137,0.9126285910606384
12,,CNN,0.6724212630955185,0.0009085819843972,0.4845418035984039,0.47461599111557,1.5505187511444092,0.332425057888031
13,,CNN,0.6724212630955185,0.0009085819843972,0.9348461031913756,0.820749819278717,1.5143684148788452,0.9216272234916688
14,,ViT,0.4226687814087755,0.0004901794324053,0.9733938574790956,0.8906534910202026,5.273460865020752,0.9352914094924928
15,,ViT,0.4226687814087755,0.0004901794324053,0.9789042472839355,0.9114813804626464,1.071264147758484,0.9220848083496094
16,,ViT,0.3990596289405324,0.0002105812179362,0.981235146522522,0.9008070826530457,1.5329948663711548,0.9331949949264526
17,,ViT,0.3990596289405324,0.0002105812179362,0.979834794998169,0.8959906101226807,1.5305203199386597,0.9268189072608948
18,,CNN,0.9581364066044068,0.0003683673450595,0.2278974950313568,0.0817495435476303,1.472585678100586,1.0
19,,CNN,0.9581364066044068,0.0003683673450595,0.6465498208999634,0.5718562602996826,1.536433458328247,0.6272162199020386
20,,CNN,0.4887122073923621,0.0007030730289616,0.894572913646698,0.7324915528297424,1.2074942588806152,0.9068388938903807
21,,CNN,0.4887122073923621,0.0007030730289616,0.8441383242607117,0.6817235350608826,1.3561575412750244,0.8222818970680237
22,,ViT,0.062602877769875,0.000340429574369,0.9642589688301086,0.8767248392105103,4.778328895568848,0.8930063247680664
23,,ViT,0.062602877769875,0.000340429574369,0.9442784190177916,0.8423587679862976,7.012773990631104,0.8936940431594849
24,,ViT,0.0288247487214207,0.0006992317616518,0.1134539693593978,0.0542827397584915,5.598527431488037,0.0805821046233177
25,,ViT,0.0288247487214207,0.0006992317616518,0.9654572010040284,0.8806300163269043,2.17327618598938,0.897948145866394
26,,CNN,0.8340607057701264,0.0002231814477238,0.8412742614746094,0.6847175359725952,1.4355672597885132,0.8956628441810608
27,,CNN,0.8340607057701264,0.0002231814477238,0.893875002861023,0.7602186799049377,1.4030405282974243,0.8061209321022034
28,,ViT,0.0845540730729006,0.000199502582991,0.9680153727531432,0.869304895401001,1.7649294137954712,0.9012276530265808
29,,ViT,0.0845540730729006,0.000199502582991,0.9650178551673888,0.8722988963127136,0.9906156063079834,0.8806952834129333
30,,ViT,0.2908207354668762,0.0006969445437691,0.9328531622886658,0.8776360154151917,2.492026090621948,0.8781282305717468
31,,ViT,0.2908207354668762,0.0006969445437691,0.9679870009422302,0.8833637237548828,3.5712060928344727,0.95269113779068
32,,ViT,0.321718995801218,0.0007615978875298,0.9574859738349916,0.8704764246940613,7.647808074951172,0.8710433840751648
33,,ViT,0.321718995801218,0.0007615978875298,0.976634681224823,0.8884404897689819,1.5908116102218628,0.9352108836174012
34,,ViT,0.360373047204176,0.0007174541180241,0.948447585105896,0.8322051763534546,3.4278905391693115,0.9277504086494446
35,,ViT,0.360373047204176,0.0007174541180241,0.9626807570457458,0.8784170746803284,0.9585047364234924,0.9504578113555908
36,,ViT,0.911986492692443,0.0009354219574401,0.950965940952301,0.8400156497955322,0.6246810555458069,0.8730562329292297
37,,ViT,0.911986492692443,0.0009354219574401,0.8614936470985413,0.7188231945037842,0.9516687989234924,0.7965703010559082
38,,CNN,0.9443370653024888,0.0009671143198359,0.2521787583827972,0.2000780999660492,1.4562127590179443,0.948275864124298
39,,CNN,0.9443370653024888,0.0009671143198359,0.8146226406097412,0.6796407103538513,1.2432998418807983,0.96704363822937
